key,en_US
COMBO_CHEST_TOAST,Combo ×%d chest! +%d coins and +%d Embers!
COMEBACK_GIFT,+1 freeze and welcome coins!
COMEBACK_TITLE,WELCOME BACK!
COMEBACK_TOAST,Welcome back! Return gift claimed.
COSMETIC_NO_FX,Equipped cosmetics show up in your pet shop instantly
COS_BANDANA_BLUE,Bandana Azul
COS_BANDANA_RED,Bandana Vermelha
COS_CROWN_BUBBLES,Coroa de Bolhas
COS_CROWN_GOLD,Coroa Real
COS_SCARF_CARAMEL,Cachecol Caramelo
COS_TUB_BUBBLEGUM,Banheira Chiclete
COS_TUB_CORAL,Banheira Coral
COS_TUB_GALAXY,Banheira Galáxia
COS_TUB_GOLD,Banheira Dourada
COS_TUB_LAVENDER,Banheira Lavanda
COS_TUB_LIME,Banheira Limão
COS_TUB_MINT,Banheira Menta
COS_TUB_OCEAN,Banheira Oceano
COS_TUB_PINK,Banheira Rosa Shampoo
COS_TUB_SKY,Banheira Céu
COS_TUB_SNOW,Banheira Neve
COS_TUB_SUNSET,Banheira Pôr do Sol
COS_WALL_BEACH,Parede Praiana
COS_WALL_CARNAVAL,Parede de Confete
COS_WALL_GARDEN,Parede Jardim
COS_WALL_JUNINA,Parede de Arraiá
COS_WALL_NATAL,Parede de Luzinhas
COS_WALL_STARS,Parede Estrelada
DAILY_AUTO_BODY,"Day %d: %d coins!
Streak: %d days + %d freezes
Day 7 = Legendary Mel Golden! Come back tomorrow for 2x."
DAILY_AUTO_BONUS,🎁 Day 7 Bonus: Legendary pet!
DAILY_AUTO_TITLE,Login Day %d!
DAILY_CLAIMED_TOAST,Login claimed! +%d coins
DAILY_LOGIN,DAILY LOGIN Day %d/7
DAILY_SPIN_DESC,Spin 1×/day: scaled coins
DAILY_SPIN_TITLE,Daily Spin
DRAG_TOOL_TO,Drag %s from the shelf to %s
ECO_MODE,Eco mode
EMBERS,Embers
EQUIP,USE
EQUIPPED,IN USE
EVENTS_OFF,No event today
EVENT_0,Family Sunday
EVENT_1,Bath Monday
EVENT_2,Grooming Tuesday
EVENT_3,Drying Wednesday
EVENT_4,Bow Thursday
EVENT_5,VIP Friday
EVENT_6,Combo Saturday
EVENT_DESC_0,everything pays +25%
EVENT_DESC_1,bath pays ×2 and fills the queue
EVENT_DESC_2,grooming pays ×2 and fills the queue
EVENT_DESC_3,drying pays ×2 and fills the queue
EVENT_DESC_4,bow pays ×2 • rare pets show up more
EVENT_DESC_5,twice the VIPs • perfume pays ×2
EVENT_DESC_6,Perfect is worth +50%
EVENT_GOAL_ANY,any service
EVENT_GOAL_DESC,%s: %d/%d services
EVENT_GOAL_REWARD,chest: +%d coins and +%d Embers
EVENT_GOAL_TITLE,GOAL OF THE DAY
FAIL_NO_PENALTY,No penalty — try again.
FAIL_OVERWASHED,Too much %s. Release as soon as the ring enters the green band.
FAIL_TIMEOUT,Time ran out. Move with a bit more rhythm!
FAIL_TOO_SOON,Bring the %s into the green band before finishing.
FAVORITE_HINT,Tap to make your favorite — it visits more
FAVORITE_SET,Favorite pet set!
FILTER_ACCESSORY,BOWS
FILTER_ALL,ALL
FILTER_ALL_COSMETICS,ALL
FILTER_BATH,TUBS
FILTER_CATS,CATS
FILTER_DOGS,DOGS
FILTER_LEGENDARY,LEGENDARY
FILTER_WALL,WALLS
FINISH_BATH,FINISH BATH
FIRST_BONUS,🎉 First perfect! +1 Ember!
FIRST_PET_READY,Caramelo is ready! Drag the soap to him.
FONT_SCALE,Font size
FONT_SCALE_LARGE,Large
FONT_SCALE_NORMAL,Normal
FONT_SCALE_SMALL,Small
FRANCHISE_DESC,Tokens available: %d
FRANCHISE_EXCHANGE,Franchise
FREEZE_EARNED,Streak freeze earned!
FREEZE_USED,A freeze protected your streak!
GAME_TITLE,PetShop Tycoon: From Bath to Empire
GOAL_CHAPTER,chapter %s
GOAL_LINE,NEXT: %s at Lv.%d • current level %d%%
GOAL_NEXT_LEVEL,NEXT LEVEL UNLOCKS: %s • %d%%
GOAL_PET,pet %s
GOAL_PRESTIGE,Career maxed • %d franchise token(s) available
GOAL_SERVICE,service %s
GOOD_RESULT,GREAT!
HAPTICS,Vibration
HINT_BATH,"Rub in circles, release in the green band"
HINT_DRY,Keep the dryer inside the moving circle
HINT_GROOM,Follow the arrows: slide the way they point
HINT_PERFUME,Spray when the golden ring glows (3 sprays)
HINT_STYLE,Fit the bow on the pink mark and hold tight
HIRE,HIRE
HIRED,ON THE TEAM
IAP_NOTE,Real purchases arrive with store integration (offline: unavailable).
LANGUAGE,Language
LEFT_HANDED_MODE,Left-handed (shelf on left)
LEVEL_UP_TOAST,Level %d! +%d coins
LOCKED,lv. %d
MAP_TITLE,FROM BUCKET TO EMPIRE
MASTERY_TOAST,%s mastery %s!
MISSIONS_NO_ADS,Missions never require an ad or a purchase.
MISSIONS_TITLE,DAILY MISSIONS
MISSION_METRIC_combo_reached,COMBO %d/%d
MISSION_METRIC_four_plus_reviews,4★+ REVIEWS %d/%d
MISSION_METRIC_perfect,PERFECTS %d/%d
MISSION_METRIC_perfect_services,PERFECTS %d/%d
MISSION_METRIC_services,SERVICES %d/%d
MISSION_METRIC_upgrades,UPGRADES %d/%d
MISSION_NOTE,"Staff vocations: Bather speeds up baths, Groomer speeds everything, Stylist improves grooming, Veterinarian soothes faster, Massage calms the client and Perfectionist widens the perfect window."
MISSION_PERFECT,ON POINT %d/3
MISSION_SERVICES,BATHS & GROOMS %d/5
MISSION_UPGRADE,ALL SHINY %d/1
MOOD_BUFF_TOAST,Salon is in rhythm! Queue more patient.
MUSIC_VOLUME,Music
NAV_COLLECTION,Pets
NAV_LOCKED,Lv.%d
NAV_MAP,Map
NAV_MISSIONS,Missions
NAV_SETTINGS,Settings
NAV_SHOP,Shop
NAV_STAFF,Staff
NEIGHBORHOOD,NEIGHBORHOOD
NEIGHBORHOOD_0,Friendly Neighbor
NEIGHBORHOOD_1,Trusted Pet Shop
NEIGHBORHOOD_2,Local Favorite
NEIGHBORHOOD_3,Neighborhood Legend
NEIGHBORHOOD_4,Eternal Icon
NEW_TAG,New!
NOTIFICATIONS,Return reminders
NOTIF_ENABLED_TOAST,Notifications enabled! 🔔
NOTIF_OFFLINE_BODY,%s earned %d coins while you were away! Come back to collect.
NOTIF_OFFLINE_TITLE,Vault is full!
NOTIF_PETS_BODY,%s is waiting in queue with %d friends. Your streak is %d days!
NOTIF_PETS_TITLE,%s missed you!
NOTIF_PROMPT_BODY,"We notify when vault is full and favorite pet returns. No spam, max 2x/day. Enable notifications?"
NOTIF_PROMPT_NO,NOT NOW
NOTIF_PROMPT_TITLE,Notify when vault full?
NOTIF_PROMPT_YES,ENABLE
NO_TIP,no tip this time
OFF,off
OFFLINE_BODY,%d min away • vault: +%d coins
OFFLINE_DAILY,Daily login (day %d) ready to claim
OFFLINE_DOUBLE_AD,DOUBLE (video)
OFFLINE_DOUBLE_EMBER,DOUBLE (1 Ember)
OFFLINE_STAFF,Your staff earned on their own: +%d%% of your income
OFFLINE_TITLE,While you were away
OFFLINE_TODAY,Today: %s — %s
ON,on
OWNED,OWNED
PASSIVE_BATH_SPEED,baths earn more
PASSIVE_GROOM_QUALITY,higher groom quality
PASSIVE_PATIENCE,clients wait longer
PASSIVE_PERFECT_WINDOW,wider Perfect band
PASSIVE_SPEED,+overall agility
PASSIVE_VETERINARY_XP,+XP on everything
PASS_DESC,Complete all 3 daily missions to advance
PASS_DONE,Pass complete! Thanks for the journey
PASS_TITLE,28-DAY PASS —
PASS_UNLOCKED,Pass day unlocked:
PAYS,pays
PERFECT,PERFECT!
PERFECT_RESULT,PERFECT!
PETTING_COUNT,petting %d/50
PETTING_LIMIT,%s is full of affection!
PET_AMORA_SIAMES,Amora
PET_APOLO_BERNESE,Apolo
PET_AURORA_RAGDOLL,Aurora
PET_AZUL_RUSSIAN,Azul
PET_BELINHA_MALTES,Belinha
PET_BENTO_BEAGLE,Bento
PET_BOB_BULLDOG,Bob
PET_CACAU_LABRADOR,Cacau
PET_CAFE_BOMBAY,Café
PET_CARAMELO,Caramelo
PET_CLEO_EGYPTIAN,Cléo
PET_COSMO_BIRMAN,Cosmo
PET_DUKE_HUSKY,Duke
PET_ESTRELA_KHAO,Estrela
PET_FRAJOLA,Frajola
PET_FRED_POODLE,Fred
PET_GAIA_SAMOYED,Gaia
PET_IRIS_CORNISH,Íris
PET_JADE_SPITZ,Jade
PET_KIARA_DOBERMAN,Kiara
PET_KIKO_PUG,Kiko
PET_LILO_MUNCHKIN,Lilo
PET_LOLA_BOXER,Lola
PET_LUA_MAINE_COON,Lua
PET_LUNA_SHIH_TZU,Luna
PET_MAYA_AKITA,Maya
PET_MEL_GOLDEN,Mel
PET_MIMI_PERSA,Mimi
PET_MINGAU_SRD,Mingau
PET_NEVE_ANGORA,Neve
PET_NICO_AUSSIE,Nico
PET_NINA_YORKSHIRE,Nina
PET_NOX_SPHYNX,Nox
PET_ODIN_NEBELUNG,Odin
PET_OLIVIA_CALICO,Olívia
PET_ONCA_BENGAL,Juma
PET_OTTO_BASSET,Otto
PET_PAÇOCA_DACHSHUND,Paçoca
PET_PIPOCA_CORGI,Pipoca
PET_PITANGA_ABISSINIO,Pitanga
PET_RIO_SAVANNAH,Rio
PET_SIMBA_NORUEGUES,Simba
PET_SOL_BORDER,Sol
PET_SUSHI_JAPANESE,Sushi
PET_THOR_PINSCHER,Thor
PET_TIGRINHO_TABBY,Tigrinho
PET_TUPA_MANE_WOLF,Tupã
PET_YUKI_SCOTTISH,Yuki
PET_ZARA_ORIENTAL,Zara
PET_ZECA_SCHNAUZER,Zeca
PRESTIGE_DESC,Prestige available: %d token(s) • current bonus +%.0f%% per service
PRESTIGE_DONE,Franchise level %d! +10%% coins per level
PRESTIGE_GO,PRESTIGE
PRESTIGE_KEEP,"Keeps: embers, pets, cosmetics, achievements, streak, pass, research and 25% of station/tools"
PRESTIGE_LOCKED,Reach level 15 and save up more coins
PRESTIGE_LOST,"Restarts: coins, staff and career level (from 10)"
PRESTIGE_PREVIEW,Inheritance: station Lv.%d • restart at level %d with every service
PRESTIGE_TITLE,FRANCHISE
PROOF_SOCIAL_LIVE,💬 %s: %s %s
QUEUE_ARRIVING,Arriving
QUEUE_RELOAD,Queue reloads in %0.1fs
QUEUE_WAITING,waiting for a client
RARITY_common,Common
RARITY_epic,Epic
RARITY_legendary,Legendary
RARITY_rare,Rare
RARITY_uncommon,Uncommon
REDUCED_FX,Reduced particles
REP_UP,The neighborhood is talking! New reputation tier
RESEARCH_CALM_PETS,Comportamento Animal
RESEARCH_CLEAN_WATER,Água Purificada
RESEARCH_COST,RESEARCH (%d)
RESEARCH_DESC,%d/%d researched
RESEARCH_DONE,✓ DONE
RESEARCH_EFFECT_bath_income,bath pays +%d%%
RESEARCH_EFFECT_offline_rate,offline vault +%d%%
RESEARCH_EFFECT_patience,pet patience +%d%%
RESEARCH_EFFECT_satisfaction,Perfect window +%d%%
RESEARCH_EFFECT_service_speed,services %d%% faster
RESEARCH_FAST_DRYER,Secagem Eficiente
RESEARCH_GENTLE_FORMULA,Fórmula Suave
RESEARCH_LOCKED,Requires: %s
RESEARCH_MOBILE_CLINIC,Clínica Móvel
RESEARCH_NOTE,Cost in parentheses is franchise tokens (earned by prestiging). Effects are permanent and survive prestige.
RESEARCH_TITLE,FRANCHISE RESEARCH
RESEARCH_TOAST,Research complete: %s
RESULT_ALMOST,ALMOST THERE!
RESULT_BUDDY,• buddy in the double tub: +40%
RESULT_RHYTHM,PERFECT RHYTHM ×%d
RESULT_SPECIAL,★ special request fulfilled!
REVEAL_ACHIEVEMENT_TITLE,Achievement unlocked!
REVEAL_CHAPTER_BODY,Establishment tier %d — the whole neighborhood noticed.
REVEAL_CHAPTER_TITLE,New chapter!
REVEAL_COSMETIC_TITLE,Season gift!
REVEAL_OK,CONTINUE
REVEAL_PET_ADOPTED,Visitor adopted!
REVEAL_PET_HINT,Tap the pet during a service to pet it.
REVEAL_PET_TITLE,New pet in your collection!
REVEAL_SERVICE_TITLE,New service unlocked!
RUSH_ACTIVE,🔥 RUSH ×2 — %ds
RUSH_COOLDOWN,⏳ rush in %ds
RUSH_TOAST,NEIGHBORHOOD RUSH! Double tips and a full queue!
SAFE_AREA_NOTICE,Safe area adjusted for notch
SEASON_ACTIVE,SEASON: %s — gift: %s
SEASON_GIFT,Season gift (%s): %s unlocked!
SEASON_NO_GIFT,coming soon
SEASON_WHEN_carnaval,February and March
SEASON_WHEN_festa_junina,June
SEASON_WHEN_natal,December
SEASON_carnaval,Carnival
SEASON_festa_junina,June Festival
SEASON_natal,Tropical Christmas
SERVE,SERVE
SERVICE_BATH,Bath
SERVICE_DRY,Drying
SERVICE_GROOM,Grooming
SERVICE_PERFUME,Perfume
SERVICE_STYLE,Bow
SETTINGS_TITLE,SETTINGS & ACCESSIBILITY
SFX_VOLUME,Sound FX
SHARE_ACHIEVEMENT_BUTTON,📷 ACHIEVEMENT
SHARE_ACHIEVEMENT_CAPTION,I unlocked %s in PetShop Tycoon! #PetShopTycoon
SHARE_ACHIEVEMENT_HEADLINE,achievement unlocked
SHARE_AFTER,AFTER
SHARE_BEFORE,BEFORE
SHARE_BUTTON,📷 BEFORE/AFTER
SHARE_CAPTION,Before and after of %s in PetShop Tycoon! %s #PetShopTycoon
SHARE_FAILED,No snapshot yet — finish a service
SHARE_HASHTAG,#PetShopTycoon
SHARE_HEADLINE,before & after at the pet salon
SHARE_SAVED,Photo saved to user://shares/!
SHARE_SAVED_GALLERY,Photo saved to Pictures/PetShopTycoon • caption copied
SHARE_SERVICE_BATH,squeaky clean after the bath!
SHARE_SERVICE_DRY,dry and fluffy!
SHARE_SERVICE_GROOM,got a brand new cut!
SHARE_SERVICE_PERFUME,smells amazing!
SHARE_SERVICE_STYLE,loved the new bow!
SHARE_WEB,Opening share…
SHOP_NAME,Pet shop name
SHOP_NAME_HINT,e.g. Moon Bath
SHOP_TITLE,SHOP
SKIP_TUTORIAL,SKIP TUTORIAL
SOURCE_BTN_ACHIEVEMENT,ACHIEVEMENT
SOURCE_BTN_SEASON,SEASON
SOURCE_achievement,Achievement: combo of 20
SPECIAL_ACCEPT,✓  ACCEPT (+40% tip)
SPECIAL_DECLINE,NOT NOW
SPECIAL_ORDER_NOTE,💰 Accept gives extra tip + keeps combo!
SPECIAL_ORDER_TITLE,⭐ SPECIAL REQUEST
SPIN_ACTION,SPIN
SPIN_DONE,DONE
STAFF_AUTOMATION,earns on their own +%d%% of your income (in play and in the vault)
STAFF_BIA,Bia
STAFF_DRA_LUNA,Dra. Luna
STAFF_MAYA,Maya
STAFF_PLAYER,Você
STAFF_SEU_ZE,Seu Zé
STAFF_TEO,Téo
STAFF_TITLE,STAFF
STREAK_LINE,Streak: %d days • Freezes: %d
STREAK_LOSS_NOTE,If you miss
TEACH_NEW_GESTURE,New gesture! Take your time:
TEMPER_AGITATED,restless
TEMPER_CALM,calm
TEMPER_PLAYFUL,playful
TEMPER_SHY,shy
TIP_LINE,tip +%d%%
TOMORROW,Tomorrow
TOMORROW_CARD_BODY,"Tomorrow: %s
%s
Your streak: %d days. Come back for login bonus and daily spin!"
TOMORROW_CARD_TITLE,Tomorrow: event + new pet!
TOOL_BOW,Bow
TOOL_CLIPPER,Clippers
TOOL_DRYER,Dryer
TOOL_PERFUME,Perfume
TOOL_SOAP,Soap
TRANSFER_COPIED,Code copied! Paste it in Settings on the other device.
TRANSFER_COPY,COPY CODE
TRANSFER_DONE,Progress restored!
TRANSFER_EXPORT_DESC,Copies a signed code to paste on another device
TRANSFER_IMPORT,Restore progress
TRANSFER_IMPORT_DESC,Pastes the copied code (replaces the current save)
TRANSFER_INVALID,Invalid or corrupted code.
TRANSFER_PASTE,PASTE CODE
TRANSFER_TITLE,Transfer progress
TRY_AGAIN,TRY AGAIN
TUT_STEP_1,Tap a client in the queue to serve
TUT_STEP_2,Drag %s to %s
UPGRADES_LOCKED,Unlocks at level %d
UPGRADES_MAXED,MAXED
UPGRADES_MISSING,Missing %d coins
UPGRADES_PER_LEVEL,per level
UPGRADES_REWARD,reward
UPGRADES_STATION,Bath station
UPGRADES_STATION_LEVEL,Station level %d! Bigger rewards.
UPGRADES_TITLE,UPGRADES
UPGRADES_TOOL_UP,%s upgraded! +4%% bonus
UPGRADES_UPGRADE,UPGRADE
VIP_TAG,VIP
VISITOR_PROGRESS,%s loved the visit! (%d/%d) — a bit more and it joins your collection
VISITOR_TAG,visitor ✦ %d/%d
VOCATION_BATHER,Bather
VOCATION_GROOMER,Groomer
VOCATION_MASSEUSE,Massage
VOCATION_PERFECTIONIST,Perfectionist
VOCATION_STYLIST,Stylist
VOCATION_VETERINARY,Veterinarian
WEEKLY_CHEST_TOAST,Weekly chest! +%d coins and +%d Embers
WEEKLY_FEATURED,Featured this week
WEEKLY_FEATURED_DESC,Community pick — rotates every Monday
WEEKLY_NOTE,Resets on Monday • bigger rewards than daily ones
WEEKLY_NOTE_SHORT,weekly
WEEKLY_PROGRESS_PILL,📦 Weekly %d/%d • %d%% • Chest: %d/7 • %s
WEEKLY_RESET_DAYS,resets in %d days
WEEKLY_RESET_TOMORROW,resets tomorrow
WEEKLY_TITLE,WEEKLY MISSIONS
WELCOME_BONUS,🎁 Welcome bonus: +1 freeze!
WMISSION_BATH,%d/40 baths
WMISSION_COMBO,Combo %d/8
WMISSION_PERFECT,%d/15 perfects
WMISSION_SPEND,%d/600 invested
WMISSION_STYLE,%d/12 bows
WMISSION_TIPS,%d/10 tips
WMISSION_VIP,%d/3 VIP clients
